country,year,co2,co2_per_capita,coal_co2,oil_co2,gas_co2,population,Code,gdp_per_capita,renewable_energy_consumption,co2_per_capita_growth,co2_growth,gdp_growth,renewable_growth,renewable_share,co2_intensity_gdp,population_growth,fossil_dependency,cumulative_co2,log_gdp_per_capita,cluster,Cluster
South Korea,1995,383.665,8.457,105.3,226.079,19.574,45368368,KOR,19877.193,0.47600058,0.07308717167872114,0.07863478542009306,0.08517151570625425,0.18756190096494274,0.0012391298488870094,0.01930176962109288,0.005264255523302674,99.99876087015112,1895.638,9.897328273058205,4,0
South Korea,1996,420.996,9.225,122.689,239.471,25.859,45638655,KOR,21242.283,0.40813407,0.0908123448031215,0.0973010308472233,0.0686761958793678,-0.14257652795297016,0.000968509886360546,0.01981877371655391,0.005957609054837443,99.99903149011364,2316.634,9.963748955455388,4,0
South Korea,1997,444.968,9.686,133.313,246.07,31.427,45941485,KOR,22342.555,0.37682396,0.04997289972899743,0.05694115858582993,0.05179631586680222,-0.076715256827248,0.0008461397544700005,0.019915716890928546,0.006635383974396225,99.99915386024553,2761.602,10.014248434928694,3,0
South Korea,1998,378.038,8.177,137.598,183.586,29.399,46230834,KOR,21044.047,0.617086,-0.15579186454676852,-0.15041531076392012,-0.05811815166170575,0.6375975667789278,0.0016296783611669224,0.017964130188456624,0.006298207382717358,99.99837032163883,3139.64,9.954372996263904,5,0
South Korea,1999,410.519,8.828,145.635,200.628,35.797,46500333,KOR,23291.014,0.55575603,0.0796135502017854,0.0859199339748915,0.10677447165937237,-0.09938642263801167,0.0013519585473145454,0.017625638797864277,0.005829421117516498,99.99864804145268,3550.159,10.055822899929776,4,0
South Korea,2000,439.981,9.408,163.883,206.229,40.204,46766608,KOR,25189.857,0.50788707,0.06570004531037599,0.07176768919343557,0.08152684979709335,-0.08613304654562182,0.0011530076805758088,0.01746659379606641,0.005726303078302797,99.99884699231943,3990.14,10.134196692474648,4,0
South Korea,2001,455.631,9.685,174.626,206.083,44.163,47043411,KOR,26210.3,0.2929415,0.029443027210884543,0.035569717783267896,0.04051007514651639,-0.4232152828777468,0.0006425227397276308,0.01738366214808682,0.005918817118402142,99.99935747726028,4445.771,10.17390774226492,3,0
South Korea,2002,476.065,10.065,187.637,207.116,49.069,47299074,KOR,28072.367,0.39274833,0.03923593185338148,0.04484769473543282,0.07104333029381582,0.34070566990337636,0.0008243088319511975,0.01695849160136728,0.005434618675928871,99.99917569116805,4921.836,10.242540990702814,3,0
South Korea,2003,485.213,10.212,195.319,205.372,51.401,47514113,KOR,28806.19,0.5620512,0.014605067064083377,0.019215863380000586,0.026140403479336216,0.43107215758243966,0.0011570194858949148,0.01684405330937552,0.004546368074774598,99.9988429805141,5407.049,10.26834557358533,3,0
South Korea,2004,491.389,10.302,203.138,196.256,60.234,47697022,KOR,30183.496,0.4988534,0.008813160987074076,0.012728430606764318,0.0478128485578968,-0.11244135765567265,0.0010141608428666272,0.016280055829185593,0.0038495720208435724,99.99898583915713,5898.438,10.315050563916614,3,0
South Korea,2005,498.688,10.422,209.293,195.069,65.27,47851594,KOR,31417.291,0.4205607,0.011648223645894129,0.01485381235640193,0.04087647766183222,-0.15694530697796183,0.0008426236957550145,0.015873042650303617,0.0032407054679430836,99.99915737630424,6397.126,10.355113689123733,3,0
South Korea,2006,503.478,10.488,216.428,190.054,67.995,48006467,KOR,32897.965,0.42015433,0.0063327576280942655,0.009605204055441519,0.04712927031168901,-0.0009662576650647514,0.000833808035194436,0.015304229304153009,0.003236527502093134,99.9991661919648,6900.604,10.401166080737076,3,0
South Korea,2007,521.709,10.829,228.427,187.258,73.37,48178072,KOR,34630.492,0.47698417,0.032513348588863566,0.03621012238866439,0.05266365259978856,0.13525944145333435,0.0009134373278098472,0.015065018423648152,0.003574622560747809,99.99908656267219,7422.313,10.452489844630225,3,0
South Korea,2008,532.651,11.015,253.041,171.088,75.924,48356441,KOR,35404.05,0.5023927,0.01717610120971469,0.02097337787923914,0.02233748223964027,0.05326912631083758,0.0009423042352891701,0.015044917177554542,0.003702285969434449,99.9990576957647,7954.964,10.474581499357571,3,0
South Korea,2009,537.82,11.078,262.395,172.708,72.171,48546637,KOR,35501.508,0.54491127,0.005719473445301659,0.009704290426564732,0.0027527359158061593,0.08463214135077979,0.0010121597054209145,0.015149215633319014,0.003933209228528689,99.99898784029457,8492.784,10.477330453434545,3,0
South Korea,2010,594.339,12.187,295.05,176.156,91.541,48769268,KOR,37728.88,0.6298219,0.10010832280194992,0.10508906325536427,0.06274020810608927,0.15582469050419911,0.001058579671433368,0.015752892744232007,0.004585920132840426,99.99894142032856,9087.123,10.538181127916646,4,0
South Korea,2011,623.443,12.69,320.169,171.469,98.513,49127592,KOR,38819.777,0.74279803,0.04127348814310339,0.04896868622116313,0.028914110357900924,0.17937790032388512,0.001190027123885794,0.016059932544177157,0.007347331930428025,99.99880997287612,9710.566,10.566685112244883,3,0
South Korea,2012,627.943,12.66,316.99,170.817,106.566,49599543,KOR,39543.996,0.8157147,-0.0023640661938534313,0.007217981435351684,0.018655928909637964,0.09816486723854134,0.001297341382201283,0.015879604074408665,0.009606638159671999,99.9987026586178,10338.509,10.585169153833645,3,0
South Korea,2013,634.581,12.674,320.644,168.582,111.531,50071119,KOR,40610.164,0.99865013,0.0011058451816745585,0.010571023166115356,0.026961564531819082,0.22426398592547137,0.0015712430846326474,0.015626161962803205,0.0095076682460562,99.99842875691537,10973.09,10.611773659086372,3,0
South Korea,2014,629.366,12.453,331.304,161.534,101.445,50539008,KOR,41648.246,1.259366,-0.01743727315764554,-0.008218021024896771,0.025562122822257116,0.2610682782367433,0.0019970113285928304,0.015111464718106015,0.009344488586324529,99.9980029886714,11602.456,10.63701453386308,3,0
South Korea,2015,634.177,12.439,335.411,170.594,92.589,50983856,KOR,42593.008,1.4513619,-0.0011242270938729426,0.007644200671787171,0.022684316645651847,0.1524544095997511,0.002283349810983316,0.014889227828191895,0.00880207225278351,99.99771665018902,12236.633,10.659445387331022,3,0
South Korea,2016,637.914,12.435,320.697,184.034,96.655,51297794,KOR,43674.508,1.6504588,-0.00032156925797888203,0.0058926766502096495,0.025391491486114415,0.13717936236303307,0.002580598057460412,0.014606094704031925,0.006157596239876328,99.99741940194254,12874.547,10.684519869913048,3,0
South Korea,2017,654.537,12.713,337.669,179.413,100.861,51486222,KOR,44928.05,1.9714482,0.02235625251306783,0.02605837150462298,0.02870191462717786,0.1944849516994911,0.003002928911890276,0.014568560175658636,0.0036732183844006006,99.9969970710881,13529.084,10.712817600276601,3,0
South Korea,2018,670.169,12.977,340.348,177.633,117.173,51640842,KOR,46034.29,2.3837214,0.020766144891056548,0.02388253070491042,0.02462247972035292,0.20912200482873455,0.003544289278969826,0.014558039235535076,0.003003133537356817,99.99645571072104,14199.253,10.737141832555329,3,0
South Korea,2019,646.102,12.481,321.606,175.797,113.586,51767790,KOR,46903.84,2.8068886,-0.03822146875240817,-0.0359118371634618,0.018889180217615875,0.1775237659904383,0.004325551166444602,0.013775034197626464,0.0024582867955560417,99.99567444883355,14845.355,10.755854827415309,3,0
South Korea,2020,597.634,11.524,282.883,165.068,116.635,51858440,KOR,46506.934,3.4662952,-0.07667654835349735,-0.07501601914248823,-0.008462121651446775,0.23492439279563837,0.005766583759282106,0.01285042785232843,0.0017510888527403345,99.99423341624072,15442.989,10.747356698737992,5,0
South Korea,2021,616.075,11.882,283.908,171.484,126.79,51848358,KOR,48571.434,3.8773115,0.031065602221450828,0.030856678167574092,0.04439122991853206,0.11857510000879334,0.006254209280418175,0.012683895641211664,-0.00019441386975771469,99.99374579071959,16059.064,10.79079085930173,3,0
South Korea,2022,602.092,11.627,268.099,173.664,126.732,51782473,KOR,49933.977,4.3325253,-0.021461033496044335,-0.022696911901960104,0.028052352747089948,0.11740449535715669,0.007144376784327262,0.012057761792136044,-0.0012707249089739525,99.99285562321568,16661.156,10.818456951834758,3,0
South Korea,2023,577.417,11.158,251.87,170.389,122.051,51748695,KOR,50572.25,4.6598625,-0.04033714629741125,-0.04098210904645794,0.012782338566784013,0.07555344223840987,0.008005579331887632,0.011417664826065679,-0.0006523056556221318,99.9919944206681,17238.573,10.831158285866536,3,0
Spain,1991,240.009,6.122,82.396,127.755,13.463,39201702,ESP,32362.303,7.060038,0.03956529122092034,0.04272854449242747,0.022853232523507794,0.035351869991594675,0.028575162866016423,0.0074163139749355905,0.0029878016393225515,99.97142483713398,470.183,10.384749536748874,3,0
Spain,1992,248.412,6.302,85.65,133.044,14.57,39420297,ESP,32503.44,4.74343,0.029402156158118142,0.03501118708048456,0.004361154396212097,-0.3281296786221264,0.01873722400503122,0.007642637210092225,0.005576160953419729,99.98126277599496,718.595,10.389101208870366,3,0
